Sl.No,State_Name,Institution_Name,Institution_Type
1,Andaman and Nicobar Islands,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, PORT BLAIR (Id: S-12013)",Teacher Training
2,Andaman and Nicobar Islands,"SCHOOL OF NURSING, G B PANT HOSPITAL, ANDAMAN (Id: S-12882)",Nursing
3,Andaman and Nicobar Islands,SCHOOL OF NURSING PORTBLAIR (Id: S-3447),Nursing
4,Andaman and Nicobar Islands,SECOND GOVT. POLYTECHNIC AandN ADMINISTRATION PAHARGAON PORT BLAIR (Id: S-489),Technical/Polytechnic
5,Andhra Pradesh,AANM and VVRSR POLYTCHNIC (Id: S-491),Technical/Polytechnic
6,Andhra Pradesh,"A B M HOSPITAL and SCHOOL OF NURSING, NELLORE (Id: S-13016)",Nursing
7,Andhra Pradesh,"ABR College of Elementary Teacher Education, Chinnairlapadu, Kanigiri (M) Prakasam-523234 (Id: S-13373)",Teacher Training
8,Andhra Pradesh,"ABYUDAYA SCHOOL OF NURSING, LANGER HOUSE, HYDERABAD (Id: S-13241)",Nursing
9,Andhra Pradesh,"Adarsha College of Elementary Teacher Education, Venkateshwara colony, Jadcherla, Mahabubnagar -509101 (Id: S-13422)",Teacher Training
10,Andhra Pradesh,"Adarsha Teacher Training Institute, Old Badver Road, Giddaluru, Prakasam (Id: S-13371)",Teacher Training
11,Andhra Pradesh,"ADDANKI PRABHUDAS AND SUJANAMMA MEMORIAL SCHOOL OF NURSING, OGMOJI CAMPUS, 31-1-35 AM TRUNK ROAD, PRAKASAM (Id: S-13076)",Nursing
12,Andhra Pradesh,ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT (Id: S-492),Technical/Polytechnic
13,Andhra Pradesh,ADITYA SCHOOL OF NURSING EAST GODAWARI (Id: S-3449),Nursing
14,Andhra Pradesh,"ADITYA SCHOOL OF NURSING, KADAPA, CUDDAPAH (Id: S-13117)",Nursing
15,Andhra Pradesh,"ADITYA SCHOOL OF NURSING, SRI NAGAR, EAST GODAVARI (Id: S-12962)",Nursing
16,Andhra Pradesh,"ADITYA SON, BARKATPURA, HYDERABAD (Id: S-13221)",Nursing
17,Andhra Pradesh,ADMINISTRATIVE STAFF COLLEGE OF INDIA (Id: S-1),PGDM Institutes
18,Andhra Pradesh,AECS APARNA SCHOOL OF NURSING TIRUPATI (Id: S-3451),Nursing
19,Andhra Pradesh,"A E L C SCHOOL OF NURSING, CHERALA, PRAKASAM (Id: S-13071)",Nursing
20,Andhra Pradesh,A E L C SCHOOL OF NURSING PRAKASAM (Id: S-3448),Nursing
21,Andhra Pradesh,"Akkineni Nageswara Rao D.Ed., college P.No.20 Gudivada, Krishna-521301 (Id: S-13355)",Teacher Training
22,Andhra Pradesh,"Akula Gopayya Elementary Teacher Education, Srinivasapuram, Near Rail-cum Road Bridge, Kovvur, West Godavari-534350. (Id: S-13349)",Teacher Training
23,Andhra Pradesh,"Akula Sree Ramulu College of Elementary Teacher Education, By Pass Road, Pidiparu, Tanuku, West Godavari-534211. (Id: S-13351)",Teacher Training
24,Andhra Pradesh,"ALA SAROJINAMMA SCHOOL OF NURSING, PRAGATHI HOSPITAL TRUST, NIZAMABAD (Id: S-13297)",Nursing
25,Andhra Pradesh,AL-HUDA POLYTECHNIC NELLORE (Id: S-494),Technical/Polytechnic
26,Andhra Pradesh,"ALLEN Alfred College of Elementary Teacher Education, Anmagar, Near Abdullapurmettu, Hayatnagar(M), Rangareddy (Christian) (Id: S-13429)",Teacher Training
27,Andhra Pradesh,"Al-Madina College of Elementary Teacher Education (D.Ed.) College, Salemnagar, Mahabubnagar (Id: S-13417)",Teacher Training
28,Andhra Pradesh,"ALURI SCHOOL OF NURSING, NEAR R.T.C. BUS STAND, PRAKASAM (Id: S-13070)",Nursing
29,Andhra Pradesh,ALWAR SCHOOL OF BUSINESS AND COMPUTERS (Id: S-2),PGDM Institutes
30,Andhra Pradesh,AMBEDKAR INSTITUTE OF MANAGEMENT STUDIES (Id: S-496),PGDM Institutes
31,Andhra Pradesh,AMBEDKAR INSTITUTE OF MANGEMENT AND STUDIES (Id: S-3),PGDM Institutes
32,Andhra Pradesh,AMERICAN SCHOOL OF NURSING ANANTHAPUR (Id: S-3454),Nursing
33,Andhra Pradesh,"AMERICAN SCHOOL OF NURSING, ARAVINDA NAGAR, ANANTHAPUR (Id: S-13084)",Nursing
34,Andhra Pradesh,"AMG SATYAVEDAM SCHOOL OF NURSING, CHILAKALURIPET, GUNTUR (Id: S-13059)",Nursing
35,Andhra Pradesh,"AMG SATYAVEDAM SCHOOL OF NURSING, SEETHAMMADHARA, VISAKHAPATNAM (Id: S-12939)",Nursing
36,Andhra Pradesh,AMG TEACHER TRAINING INSTITUTION FOR WOMEN VISAKHAPATNAM (Id: S-5563),Teacher Training
37,Andhra Pradesh,AMRUTHA TEACHER TRAINING INSTITUTE AMRUTHA SOCIAL EDUCATIONAL DEVELOPMENT SOCIETY SINGARAYAKONDA PRAKASAM (Id: S-5565),Teacher Training
38,Andhra Pradesh,"ANDHRA MAHILA SABHA SCHOOL OF NURSING, VIDYANAGAR, HYDERABAD (Id: S-13208)",Nursing
39,Andhra Pradesh,ANDHRA POLYTECHNIC KAKINADA (Id: S-497),Technical/Polytechnic
40,Andhra Pradesh,ANDHRA PRADESH AVIATION ACADEMY HYDERABAD (Id: S-8853),Institutes under Ministries
41,Andhra Pradesh,"Annamacharya College of Elementary Teacher Education, New Boyenpalli Rajampet, Kadapa-516126 (Id: S-13389)",Teacher Training
42,Andhra Pradesh,ANNAMACHARYA INSTITUE OF TECHNOLOGY and SCIENCES (Id: S-498),Technical/Polytechnic
43,Andhra Pradesh,"ANNAPURNA SCHOOL OF NURSING, PALAKOL MANDAL, WEST GODAVARI (Id: S-12992)",Nursing
44,Andhra Pradesh,"APARNA SCHOOL OF NURSING, CHAITANYAPURI STREET, NALGONDA (Id: S-13316)",Nursing
45,Andhra Pradesh,"APARNA SCHOOL OF NURSING, NAKARIKAL, NALGONDA (Id: S-13318)",Nursing
46,Andhra Pradesh,"APARNA SCHOOL OF NURSING, PADMAVATHI NAGAR, CHITTOOR (Id: S-13141)",Nursing
47,Andhra Pradesh,"APEX INSTITUTE OF MEDICAL SCIENCES SCHOOL OF NURSING, CHITTOOR (Id: S-13158)",Nursing
48,Andhra Pradesh,A.P.GOVERNMENT INSTITUTE OF LEATHER TECHNOLOGY (Id: S-488),Technical/Polytechnic
49,Andhra Pradesh,"APOLLO HOSPITAL and SCHOOL OF NURSING, JUBILEE HILLS, HYDERABAD (Id: S-13207)",Nursing
50,Andhra Pradesh,"APPLE SCHOOL OF NURSING, MATWADA, WARANGAL (Id: S-13170)",Nursing
51,Andhra Pradesh,APPLE SCHOOL OF NURSING WARANGAL (Id: S-3457),Nursing
52,Andhra Pradesh,"ARCHANA SCHOOL OF NURSING, BANJARA HILLS, HYDERABAD (Id: S-13212)",Nursing
53,Andhra Pradesh,ARIES POLYTECHNIC COLLEGE (Id: S-499),Technical/Polytechnic
54,Andhra Pradesh,AROGYAVARAM MEDICAL CENTRE AROGYAVARAM (Id: S-3459),Nursing
55,Andhra Pradesh,"AROGYAVARAM MEDICAL CENTRE, AROGYAVARAM, CHITTOOR (Id: S-13144)",Nursing
56,Andhra Pradesh,"ASHAM SCHOOL OF NURSING, MARKAPUR, PRAKASAM (Id: S-13081)",Nursing
57,Andhra Pradesh,ASIAN SCHOOL OF BUSINESS MANAGEMENT (Id: S-4),PGDM Institutes
58,Andhra Pradesh,"A SOCIETY FOR MOTHER CARE SCHOOL OF NURSING, SHYAMALA NAGAR, GUNTUR (Id: S-13046)",Nursing
59,Andhra Pradesh,ASRAM SCHOOL OF NURSING WEST GODAVARI (Id: S-3460),Nursing
60,Andhra Pradesh,"ASSRAM SCHOOL OF NURSING, MALKAPURAM, WEST GODAVARI (Id: S-12990)",Nursing
61,Andhra Pradesh,"ASWINI SCHOOL OF NURSING, MANGALAGIRI ROAD, GUNTUR (Id: S-13051)",Nursing
62,Andhra Pradesh,AURORA'S BUSINESS SCHOOL (Id: S-5),PGDM Institutes
63,Andhra Pradesh,AVANTHI BUSINESS SCHOOL (Id: S-6),PGDM Institutes
64,Andhra Pradesh,A.V.N.POLYTECHNIC (Id: S-490),Technical/Polytechnic
65,Andhra Pradesh,"AYYAVARU REDDY MEMORIAL SCHOOL OF NURSING, KADAPA, CUDDAPAH (Id: S-13121)",Nursing
66,Andhra Pradesh,B.A and K.R.TEACHER TRAINING INSTITUTION (D.ED) SRI SAI PRIYADARSHANI EDUCATIONAL SOCIETY ONGOLE (Id: S-5566),Teacher Training
67,Andhra Pradesh,BALAJEE POLYTECHNIC (Id: S-501),Technical/Polytechnic
68,Andhra Pradesh,"Balaji College of Elementary Teacher Education, Khajanagar, Near RTC Bus Stand, Anantapur- 515001 (Id: S-13397)",Teacher Training
69,Andhra Pradesh,"BALAJI SCHOOL OF NURSING, NALGONDA (Id: S-13321)",Nursing
70,Andhra Pradesh,BALAJI SCHOOL OF NURSING NELLORE (Id: S-3462),Nursing
71,Andhra Pradesh,"BALAJI SCHOOL OF NURSING, TALPAGIRI COLONY, NELLORE (Id: S-13020)",Nursing
72,Andhra Pradesh,BAPATLA POLYTECHNIC BAPATLA (Id: S-503),Technical/Polytechnic
73,Andhra Pradesh,"BAPUJI TELUGUNADU SCHOOL OF NURSING, SHANTHI NAGAR, NALGONDA (Id: S-13301)",Nursing
74,Andhra Pradesh,"B A RAMAIAH POLYTECHNIC, RAJAHMUNDRY (Id: S-13793)",Technical/Polytechnic
75,Andhra Pradesh,"Batchu Rambotlu D.Ed. College, 6-786, Naidupet, Guntur Rural, Guntur District (Id: S-13367)",Teacher Training
76,Andhra Pradesh,"B B R SCHOOL OF NURSING, BALANAGAR, HYDERABAD (Id: S-13219)",Nursing
77,Andhra Pradesh,BELLAMKONDA POLYTECHNIC COLLEGE (Id: S-504),Technical/Polytechnic
78,Andhra Pradesh,"BELLAMKONDA SUDHA SCHOOL OF NURSING, CUMBUM, PRAKASAM (Id: S-13080)",Nursing
79,Andhra Pradesh,"BELLAMKONDA SUDHA SCHOOL OF NURSING, GIDDALUR, PRAKASAM (Id: S-13079)",Nursing
80,Andhra Pradesh,"Benaiah D.Ed. College, Burugupudi, Korukonda (M), Rajahmundry, East Godavari District (Id: S-13345)",Teacher Training
81,Andhra Pradesh,"Best College of Teacher Education, Eluru Revenue Division, 1-31-7, KN Road, Bye-pass Junction,Tadepalli (V),Tadepallygudem, West Godavari -534101. (Id: S-13348)",Teacher Training
82,Andhra Pradesh,"BETHANY SCHOOL OF NURSING, P.M. PALEM, VISAKHAPATNAM (Id: S-12935)",Nursing
83,Andhra Pradesh,BETHANY SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3464),Nursing
84,Andhra Pradesh,BHAGATH COLLEGE OF DIPLOMA IN ENGINEERING AND TECHNOLOGY (Id: S-505),Technical/Polytechnic
85,Andhra Pradesh,"BHAGAWAN MAHAVIR SCHOOL OF NURSING, A.C. GUARDS, HYDERABAD (Id: S-13229)",Nursing
86,Andhra Pradesh,"BHAGYANAGAR SCHOOL OF NURSING, RANGA REDDY, HYDERABAD (Id: S-13236)",Nursing
87,Andhra Pradesh,"Bharat College of Elementary Teacher Education, No.20/348, DC Road, Kadapa-516001 (Id: S-13394)",Teacher Training
88,Andhra Pradesh,"Bharathi College of Diploma in Education, Nandyal, Kurnool (Id: S-13413)",Teacher Training
89,Andhra Pradesh,"BHARATHI SCHOOL OF NURSING, NORTH BY PASS ROAD, PRAKASAM (Id: S-13072)",Nursing
90,Andhra Pradesh,BHARATHI SCHOOL OF NURSING PRAKASAM (Id: S-3468),Nursing
91,Andhra Pradesh,BHARAT SCHOOL OF NURSING EAST GODAWARI (Id: S-3467),Nursing
92,Andhra Pradesh,"BHARAT SCHOOL OF NURSING, RAJAHMUNDRY, EAST GODAVARI (Id: S-12969)",Nursing
93,Andhra Pradesh,BHARGAVI SCHOOLOF NURSING KURNOOL (Id: S-3469),Nursing
94,Andhra Pradesh,"BHARGAVI SCHOOL OF NURSING, SRINIVAS NAGAR, KURNOOL (Id: S-13134)",Nursing
95,Andhra Pradesh,"Bhashyam College of Elementary Education, Mallikarjuna Colony, Gorantal, Guntur-522034 (Id: S-13475)",Teacher Training
96,Andhra Pradesh,BHASKARA POLYTECHNIC (Id: S-506),Technical/Polytechnic
97,Andhra Pradesh,BHAVANA SCHOOL OF NURSING KURNOOL (Id: S-3470),Nursing
98,Andhra Pradesh,"BHAVANI SCHOOL OF NURSING, SURYAPET, NALGONDA (Id: S-13317)",Nursing
99,Andhra Pradesh,BHIMAVARAM INSTITUTE OF ENGINEERING and TECHNOLOGY (Id: S-507),Technical/Polytechnic
100,Andhra Pradesh,"BIJLI SCHOOL OF NURSING, HYDERABAD (Id: S-13240)",Nursing
101,Andhra Pradesh,BIT INSTITUTE OF TECHNOLOGY (Id: S-508),Technical/Polytechnic
102,Andhra Pradesh,"BLESS SCHOOL OF NURSING, PADMAVATHI COLONY, CHITTOOR (Id: S-13157)",Nursing
103,Andhra Pradesh,"BOLLINENI SCHOOL OF NURSING, DARGAMETTA, NELLORE (Id: S-13030)",Nursing
104,Andhra Pradesh,BOLLINENI SCHOOL OF NURSING NELLORE (Id: S-3471),Nursing
105,Andhra Pradesh,BOLLINI AMARAVATHAMMA JAYARAMA NAIDU TEACHER TRAINING INSTITUTE CHITTOOR (Id: S-5567),Teacher Training
106,Andhra Pradesh,BOMMA INSTITUTE OF TECHNOLOGY and SCIENCE (Id: S-509),Technical/Polytechnic
107,Andhra Pradesh,BONAM VENKATACHALAMAYYA INSTITUTE OF TECHNOLOGY and SCIENCE (Id: S-510),Technical/Polytechnic
108,Andhra Pradesh,"B.R.College of Education, D.No.1-1-160, Anakapalli Road, Baligattam (V), Narsipatnam Visakhapatnam - 531116. (Id: S-13333)",Teacher Training
109,Andhra Pradesh,"Brilliant D.Ed., college Kandulapuram, Cumbum (post) Prakasam (Id: S-13382)",Teacher Training
110,Andhra Pradesh,"B.S.N. Memorial College of Elementary Education, Kothavalasa, Vizianagaram-535 188. (Id: S-13326)",Teacher Training
111,Andhra Pradesh,"CARE SCHOOL OF NURSING, MOJAMJAHI MARKET, HYDERABAD (Id: S-13215)",Nursing
112,Andhra Pradesh,CATHERINE INST ITUTE OF ELEMENTRY TEACHER EDUCAT CATHERINE ACADEMY VISHAKAPATNAM (Id: S-5569),Teacher Training
113,Andhra Pradesh,CENTRAL INSTITUTE OF COMMERECE (Id: S-511),Technical/Polytechnic
114,Andhra Pradesh,CENTRAL INSTITUTE OF PLASTICS ENGINEERING and TECHNOLOGY HYDERABAD (Id: S-512),Technical/Polytechnic
115,Andhra Pradesh,CENTRAL INSTITUTE OF TOOL DESIGN/ MSME TOOL ROOM HYDERABAD (Id: S-513),Technical/Polytechnic
116,Andhra Pradesh,CENTRE FOR MANAGEMENT AND TECHNOLOGY (CMT) (Id: S-7),PGDM Institutes
117,Andhra Pradesh,CHAITANYA EDUCATIONAL SOCIETY PRAKASAM (Id: S-3474),Nursing
118,Andhra Pradesh,CHAITANYA INSTITUTE OF SCIENCE AND TECHNOLOGY (Id: S-514),Technical/Polytechnic
119,Andhra Pradesh,"CHAITANYA SCHOOL OF NURSING, RAMNAGAR, PRAKASAM (Id: S-13064)",Nursing
120,Andhra Pradesh,"CHANDRA SCHOOL OF NURSING, CHUTTUGUNTA, GUNTUR (Id: S-13038)",Nursing
121,Andhra Pradesh,CHANDRA SCHOOL OF NURSING GUNTUR (Id: S-3475),Nursing
122,Andhra Pradesh,"CHANDU HINDI PANDIT TRAINING COLLEGE, SRIKAKULAM (Id: S-12016)",Teacher Training
123,Andhra Pradesh,"CHARITHA SCHOOL OF NURSING, SURYARAOPET, KRISHNA (Id: S-13003)",Nursing
124,Andhra Pradesh,CHRISTIAN MEDICAL CENTRE EAST GODAWARI (Id: S-3476),Nursing
125,Andhra Pradesh,"CHRISTIAN SCHOOL OF NURSING, KRISHNAGAR, KURNOOL (Id: S-13122)",Nursing
126,Andhra Pradesh,CHRISTIAN SCHOOL OF NURSING KURNOOL (Id: S-3477),Nursing
127,Andhra Pradesh,"CHRISTINA SCHOOL OF NURSING, KEESARA, HYDERABAD (Id: S-13263)",Nursing
128,Andhra Pradesh,CHUNDI RANGANAYAKULU POLYTECHNIC (Id: S-515),Technical/Polytechnic
129,Andhra Pradesh,"CIPAI GOVINADA REDDY SCHOOL OF NURSING, RAMACHARANDAS, CHITTOOR (Id: S-13146)",Nursing
130,Andhra Pradesh,CIPAI GOVINDA REDDY SCHOOLOF NURSING TRIUPATI (Id: S-3479),Nursing
131,Andhra Pradesh,"C M C HOSPITAL and SCHOOL OF NURSING, PITHAPURAM, EAST GODAVARI (Id: S-12947)",Nursing
132,Andhra Pradesh,COL. D.S. RAJU POLYTECHNIC PODURU (Id: S-516),Technical/Polytechnic
133,Andhra Pradesh,"COLLEGE OF MEDICAL TECHNOLOGY, LAWYERPET, PRAKASAM (Id: S-13063)",Nursing
134,Andhra Pradesh,"Crescent College of Elementary Teacher Training Institute, D.No.2-8-275, Mukarrampura, Karimnagar District - 505001. (muslim) (Id: S-13450)",Teacher Training
135,Andhra Pradesh,CRESCENT INSTITUTE OF ELEMENTARY TEACHER TRAINING C/O.CRESCENT C. O. E. CAMPUS ANANTAPUR (Id: S-5570),Teacher Training
136,Andhra Pradesh,CRESCENT SCHOOL OF NURSING KADAPA (Id: S-3480),Nursing
137,Andhra Pradesh,"CRESCENT SCHOOL OF NURSING, NEHRUNAGAR, CUDDAPAH (Id: S-13109)",Nursing
138,Andhra Pradesh,"C S I CAMPBELL HOSPITAL and SCHOOL OF NURSING, JAMMALAMADUGU, CUDDAPAH (Id: S-13104)",Nursing
139,Andhra Pradesh,C S I SCHOOL OF NURSING KADAPA (Id: S-3472),Nursing
140,Andhra Pradesh,CSR BUSINESS SC HOOL (Id: S-8),PGDM Institutes
141,Andhra Pradesh,DA GOVT POLYTECHNIC ONGOLE (Id: S-517),Technical/Polytechnic
142,Andhra Pradesh,DAVID MEMORIAL BUSINESS SCHOOL (Id: S-518),PGDM Institutes
143,Andhra Pradesh,DBHPS HINDI PRACHARAK PRASHIKSHAN MAHAVIDYALAYA TENALI GUNTUR (Id: S-5571),Teacher Training
144,Andhra Pradesh,"D D R SCHOOL OF NURSING, SEETHAMMADHARA, VISAKHAPATNAM (Id: S-12931)",Nursing
145,Andhra Pradesh,D D R SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3481),Nursing
146,Andhra Pradesh,"DEEPIKA SCHOOL OF NURSING, TIRUPATHI, CHITTOOR (Id: S-13159)",Nursing
147,Andhra Pradesh,"DEEPTHI SCHOOL OF NURSING, NEAR COLLECTORATE, NALGONDA (Id: S-13314)",Nursing
148,Andhra Pradesh,"D G R SCHOOL OF NURSING, HARANATHPURAM, NELLORE (Id: S-13029)",Nursing
149,Andhra Pradesh,D G R SCHOOL OF NURSING NELLORE (Id: S-3482),Nursing
150,Andhra Pradesh,DHRUVA COLLEGE OF MANAGEMENT (Id: S-10),PGDM Institutes
151,Andhra Pradesh,DILEEF SCHOOL OF NURSING NELLORE (Id: S-3483),Nursing
152,Andhra Pradesh,"DILLEF SCHOOL OF NURSING, VEDAYAPALEM, NELLORE (Id: S-13018)",Nursing
153,Andhra Pradesh,"DISTRICT HOSPITAL SCHOOL OF NURSING, ELURU, WEST GODAVARI (Id: S-12994)",Nursing
154,Andhra Pradesh,DISTRICT INSTITURE OF EDUCATION and TRAINING (DIET) ANANTAPUR (Id: S-5572),Teacher Training
155,Andhra Pradesh,DISTRICT INSTITURE OF EDUCATION and TRAINING (DIET) BOYAPALEM (Id: S-5573),Teacher Training
156,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) ANGALURU KRISHNA (Id: S-5575),Teacher Training
157,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) CHITTOOR (Id: S-5576),Teacher Training
158,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) CUDDAPAH (Id: S-5577),Teacher Training
159,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) EAST GODAVARI (Id: S-5578),Teacher Training
160,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) GUNTUR (Id: S-5579),Teacher Training
161,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) KURNOOL (Id: S-5581),Teacher Training
162,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) NELLORE (Id: S-5587),Teacher Training
163,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) PRAKASAM (Id: S-5589),Teacher Training
164,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) SRIKAKULAM (Id: S-5592),Teacher Training
165,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) VISAKHAPATNAM (Id: S-5594),Teacher Training
166,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) VIZIANAGARAM (Id: S-5595),Teacher Training
167,Andhra Pradesh,DISTRICT INSTITUTE OF EDUCATION and TRAINING (DIET) WEST GODAVARI (Id: S-5597),Teacher Training
168,Andhra Pradesh,DIVI SEEMA POLYTECHNIC AVANIGADDA (Id: S-519),Technical/Polytechnic
169,Andhra Pradesh,DIVYA SCHOOL OF NURSING ANANTAPUR (Id: S-3484),Nursing
170,Andhra Pradesh,"DIVYA SCHOOL OF NURSING, KOVUR NAGAR, ANANTHAPUR (Id: S-13092)",Nursing
171,Andhra Pradesh,"DNR College of Elementary Education, Balusumudi, Bheemavaram, West Godavari-534202 (Id: S-13352)",Teacher Training
172,Andhra Pradesh,"Dodda Rachamma Memorial (DRM) College of Elementary Teacher Education, Charlapally, Nalgonda -508001 (Id: S-13466)",Teacher Training
173,Andhra Pradesh,DR.B.R.A.G.M.R.POLYTECHNIC (Id: S-523),Technical/Polytechnic
174,Andhra Pradesh,"DR B S R SCHOOL OF NURSING, THYAGARAYANAGARA, NELLORE (Id: S-13024)",Nursing
175,Andhra Pradesh,"DR B V SYAMALA RATNAM MEDICAL AND PARA MEDICAL CHARITY TRUST, HINDUPUR, ANANTHAPUR (Id: S-13088)",Nursing
176,Andhra Pradesh,DR B V SYAMALA RATNAM SCHOOL OF NURSING ANANTAPUR (Id: S-3485),Nursing
177,Andhra Pradesh,"Dr. KRC College of Elementary Teacher Education, Jeevagram, Renigunta,Chittoor -517510 (Id: S-13386)",Teacher Training
178,Andhra Pradesh,DR.K.R.C ELEMENTRY EDUCATION DR.K.RAJENDRA PRASAD JEWAGRAM CHITTOOR (Id: S-5598),Teacher Training
179,Andhra Pradesh,DR.N.S.KOLLA SCHOOL OF BUSINESS (Id: S-11),PGDM Institutes
180,Andhra Pradesh,"DR PAULRAJ SCHOOL OF NURSING, NANDULPET, GUNTUR (Id: S-13052)",Nursing
181,Andhra Pradesh,"DR PINNAMANENI SIDDARTHA INSTITUTE OF MEDICAL SCIENCES and RESEARCH FOUNDATION SCHOOL OF NURSING, CHINOUTPALLY, KRISHNA (Id: S-13004)",Nursing
182,Andhra Pradesh,DR. PINNAMANENI SIDDHARTHA INSTT OF MEDICAL SC. KRISHNA (Id: S-3489),Nursing
183,Andhra Pradesh,DR P V RAMACHANDRA REDDY'S PEOPLES POLYCLINIC NELLORE (Id: S-3486),Nursing
184,Andhra Pradesh,"DR P V RAMACHANDRA REDDYS PEOPLES POLY CLINIC SCHOOL OF NURSING, SANKARAGRAHRAM, NELLORE (Id: S-13022)",Nursing
185,Andhra Pradesh,"DR RAJA SEKHAR REDDY SCHOOL OF NURSING, GANDHI NAGAR, NELLORE (Id: S-13027)",Nursing
186,Andhra Pradesh,DR RAJASEKHAR REDDY SCHOOL OF NURSING NELLORE (Id: S-3487),Nursing
187,Andhra Pradesh,DR SAKHIREDDY VEERABHADRA RAO SCHOOL OF NURSING EAST GODAWARI (Id: S-3488),Nursing
188,Andhra Pradesh,"DR SAKHI REDDY VEERABHADRA RAO SCHOOL OF NURSING, KAKINADA, EAST GODAVARI (Id: S-12955)",Nursing
189,Andhra Pradesh,DR SAMUEL GEORGE INSTITUTE OF ENGINEERING and TECHNOLOGY (Id: S-521),Technical/Polytechnic
190,Andhra Pradesh,"DR SAMUEL GEORGE INSTITUTE OF PARA MEDICAL SCIENCES SCHOOL OF NURSING, MARKAPUR, PRAKASAM (Id: S-13074)",Nursing
191,Andhra Pradesh,DR. Y .C. JAMES YEN RURAL POLYTECHNIC. KUPPAM (Id: S-522),Technical/Polytechnic
192,Andhra Pradesh,"E B HOSPITAL and SCHOOL OF NURSING, NIDUBROLU, GUNTUR (Id: S-13041)",Nursing
193,Andhra Pradesh,"Einsten Institute of Teacher Training, Nadargul, Saroornagar, Rangareddy (Id: S-13423)",Teacher Training
194,Andhra Pradesh,"EMANUEL SCHOOL OF NURSING, MAKAVARAPALEM, VISAKHAPATNAM (Id: S-12929)",Nursing
195,Andhra Pradesh,EMMANUEL SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3490),Nursing
196,Andhra Pradesh,"EMMI SCHOOL OF NURSING, PHIRANGIPURAM, GUNTUR (Id: S-13060)",Nursing
197,Andhra Pradesh,ENGINEERING STAFF COLLEGE OF INDIA (Id: S-12),PGDM Institutes
198,Andhra Pradesh,"ENLIGHT SCHOOL OF NURSING, K.B. LAYOUT, CHITTOOR (Id: S-13142)",Nursing
199,Andhra Pradesh,ENLIGHT SCHOOL OF NURSING TRIUPATI (Id: S-3491),Nursing
200,Andhra Pradesh,ESC GOVT POLYTECHNIC NANDYAL (Id: S-524),Technical/Polytechnic
201,Andhra Pradesh,"FAITH SCHOOL OF NURSING, ANANTHAPUR (Id: S-13099)",Nursing
202,Andhra Pradesh,FATIMA SCHOOL OF NURSING CUDDAPAH (Id: S-3492),Nursing
203,Andhra Pradesh,"FATIMA SCHOOL OF NURSING, KADAPA, CUDDAPAH (Id: S-13108)",Nursing
204,Andhra Pradesh,"FERNANDEZ SCHOOL OF NURSING, AHMEDGUDA, HYDERABAD (Id: S-13233)",Nursing
205,Andhra Pradesh,FERNANDEZ SCHOOL OF NURSING HYDERABAD (Id: S-3493),Nursing
206,Andhra Pradesh,"FLORENCE NIGHTINGALE SCHOOL OF NURSING, DEVI CHOWK, GUNTUR (Id: S-13042)",Nursing
207,Andhra Pradesh,FLORENCE NIGHTINGALE SCHOOL OF NURSING EAST GODAWARI (Id: S-3495),Nursing
208,Andhra Pradesh,FLORENCE NIGHTINGALE SCHOOL OF NURSING KRISHNA (Id: S-3496),Nursing
209,Andhra Pradesh,"FLORENCE NIGHTINGALE SCHOOL OF NURSING, PATAMATA, KRISHNA (Id: S-13005)",Nursing
210,Andhra Pradesh,"FLORENCE NIGHTINGALE SCHOOL OF NURSING, RAJAM, SRIKAKULAM (Id: S-12914)",Nursing
211,Andhra Pradesh,FLORENCE NIGHTINGALE SCHOOL OF NURSING SRIKAKULAM (Id: S-3497),Nursing
212,Andhra Pradesh,"FLORENCE NIGHTINGLE SCHOOL OF NURISNG, KAKINDA, EAST GODAVARI (Id: S-12959)",Nursing
213,Andhra Pradesh,FLYTECH AVIATION ACADEMY SECUNDERABAD (Id: S-8854),Institutes under Ministries
214,Andhra Pradesh,"GANDHI HOSPITAL SCHOOL OF NURSING, MUSHEERABAD, HYDERABAD (Id: S-13213)",Nursing
215,Andhra Pradesh,"GANESH SCHOOL OF NURSING, GUDIWADA, KRISHNA (Id: S-13015)",Nursing
