Sl.No,State_Name,Institution_Name,Institution_Type
8586,Rajasthan,"R.N. INSTITUTE OF POLYTECHNIC STUDIES, JHUNJHUNU (Id: S-2643)",Technical/Polytechnic
8587,Rajasthan,ROOP RAJAT SCHOOL OF NURSING AJMER (Id: S-5150),Nursing
8588,Rajasthan,R R NURSING INSTITUTE AJMER (Id: S-5135),Nursing
8589,Rajasthan,RUHI NURSING COLLEGE OF NURSING BHILWARA (Id: S-5151),Nursing
8590,Rajasthan,RURAL RESEARCH INSTITUTE FOR HEALTH JAIPUR (Id: S-5152),Nursing
8591,Rajasthan,"SADI LAL KATARIA MEMORIAL MAHILA SHIKSHAK PRASHIKSHAN COLLEGE PILANI, JHUNJHUNU (Id: S-12538)",Teacher Training
8592,Rajasthan,SAGAR EDUCATION INSTITUTE OF NURSING KOTA (Id: S-5154),Nursing
8593,Rajasthan,"SAINT JOSEPH COLLEGE FOR TECHNICAL EDUCATION, TONK (Id: S-12107)",Technical/Polytechnic
8594,Rajasthan,SANJAY PRE SCHOOL TEACHER'S EDUCATION TRAINING SCHOOL (Id: S-7614),Teacher Training
8595,Rajasthan,SANJAY TEACHER'S TRAINING SCHOOL (Id: S-7615),Teacher Training
8596,Rajasthan,SANJEEVAN INSTITUTE OF PARAMEDICAL SCIENCE and NURSING JAIPUR (Id: S-5155),Nursing
8597,Rajasthan,SANJEEVAN PARAMEDICAL and NURSING TRAINING CENTRE DAUSA (Id: S-5156),Nursing
8598,Rajasthan,SANJEEVNI SCHOOL OF NURSING BANSWARA (Id: S-5157),Nursing
8599,Rajasthan,SANKALP INSTITUTE OF MEDICAL and NURSING EDUCATION DHOLPUR (Id: S-5158),Nursing
8600,Rajasthan,SANSKAR INTERNATIONAL MAHILA SHIKSHA MAHAVIDYALAYA HANUMANGARH (Id: S-7616),Teacher Training
8601,Rajasthan,SANSKAR NURSING SCHOOL AJMER (Id: S-5159),Nursing
8602,Rajasthan,SANT SUKHDEV SHAH SCHOOL OF NURSING ALWAR (Id: S-5160),Nursing
8603,Rajasthan,"SARASWATI POLYTECHNIC COLLEGE KHETRI, JHUNJHUNU (Id: S-2659)",Technical/Polytechnic
8604,Rajasthan,SARASWATI SCHOOL OF NURSING DAUSA (Id: S-5161),Nursing
8605,Rajasthan,SARASWATI SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA SIKAR (Id: S-7617),Teacher Training
8606,Rajasthan,SARVODAYA INSTITUTE OF PARA MEDICAL NURSING INSTITUTE KOTA (Id: S-5162),Nursing
8607,Rajasthan,"SARVODAYA POLYTECHNIC COLLEGE, KOTA (Id: S-12109)",Technical/Polytechnic
8608,Rajasthan,SARVODAYA SCHOOL OF NURSING NAGAUR (Id: S-5163),Nursing
8609,Rajasthan,SARVODAYA TEACHER TRAINING INSTITUTE (Id: S-7618),Teacher Training
8610,Rajasthan,SATYA SAI SCHOOL OF NURSING SIKAR (Id: S-5164),Nursing
8611,Rajasthan,"SAURABH COLLEGE OF TEACHER TRAINING, ALWAR (Id: S-12864)",Teacher Training
8612,Rajasthan,SAVI INSTITUTE OF NURSING BARMER (Id: S-5165),Nursing
8613,Rajasthan,"SBS POLYTECHNIC COLLEGE, SIKER (Id: S-2660)",Technical/Polytechnic
8614,Rajasthan,"SCHOOL OF AERONAUTICS , NEEMRANA ALWAR (Id: S-8945)",Institutes under Ministries
8615,Rajasthan,SCHOOL OF BUSINESS AND MANAGEMENT JAIPUR NATIONAL UNIVERSITY JAIPUR (Id: S-319),PGDM Institutes
8616,Rajasthan,SCHOOL OF NURSING HARISH HOSPITAL ALWAR (Id: S-5166),Nursing
8617,Rajasthan,SCHOOL OF NURSING JAIPUR (Id: S-5167),Nursing
8618,Rajasthan,SCHOOL OF NURSING SIROHI (Id: S-5168),Nursing
